__run_id,__done,run_number,library,dataframe_size,DAT,execution_time,cpu_usage,memory_usage,energy_usage
run_18,DONE,r1,Polars,Small,FileTypes,11.994986,735.636,0.273,141.871
run_207,DONE,r9,Polars,Big,StatisticalAggregationMinMaxUnique,32.264264,1738.129,1.384,603.497
run_194,DONE,r9,Pandas,Big,MissingDataDAT,692.616034,102.306,2.278,8942.436
run_77,DONE,r4,Pandas,Big,ViewData,755.671782,103.097,2.011,9782.648
run_170,DONE,r8,Pandas,Big,MissingDataDAT,692.918598,103.284,2.281,8948.124
run_153,DONE,r7,Pandas,Small,StatisticalAggregationMinMaxUnique,65.738867,129.656,0.141,836.759
run_122,DONE,r6,Pandas,Big,MissingDataDAT,692.348487,103.728,2.284,8981.253
run_40,DONE,r2,Polars,Big,StatisticalAggregationSumMeanDAT,29.085554,2007.714,1.411,489.667
run_71,DONE,r3,Polars,Small,ViewData,9.54342,2741.0,0.322,179.745
run_56,DONE,r3,Pandas,Small,MissingDataDAT,93.897295,121.174,0.255,1157.407
run_124,DONE,r6,Pandas,Big,StatisticalAggregationSumMeanDAT,496.566676,104.476,1.386,6446.805
run_59,DONE,r3,Pandas,Small,ViewData,101.079282,120.192,0.23,1300.657
run_139,DONE,r6,Polars,Small,InputOutputDAT,12.658914,355.833,0.033,184.379
run_151,DONE,r7,Pandas,Small,InputOutputDAT,108.997574,122.187,0.153,1364.257
run_211,DONE,r9,Polars,Small,InputOutputDAT,13.26789,341.615,0.015,146.286
run_96,DONE,r5,Pandas,Big,FileTypes,593.551181,103.674,1.541,7664.133
run_156,DONE,r7,Polars,Big,FileTypes,94.706267,759.38,1.438,1190.571
run_213,DONE,r9,Polars,Small,StatisticalAggregationMinMaxUnique,4.116646,1905.0,0.233,47.469
run_164,DONE,r7,Polars,Small,MissingDataDAT,6.691387,1630.5,0.367,91.814
run_172,DONE,r8,Pandas,Big,StatisticalAggregationSumMeanDAT,503.59522,104.465,1.389,6493.618
run_176,DONE,r8,Pandas,Small,MissingDataDAT,93.82703,121.402,0.257,1196.837
run_203,DONE,r9,Pandas,Small,ViewData,99.550368,119.041,0.232,1288.682
run_34,DONE,r2,Pandas,Small,StatisticalAggregationSumMeanDAT,67.731952,129.106,0.144,839.009
run_66,DONE,r3,Polars,Small,FileTypes,11.828482,730.273,0.273,158.257
run_84,DONE,r4,Polars,Big,FileTypes,93.747047,757.593,1.432,1116.353
run_162,DONE,r7,Polars,Small,FileTypes,12.003093,736.273,0.291,156.95
run_12,DONE,r1,Polars,Big,FileTypes,94.120789,753.315,1.413,1382.506
run_161,DONE,r7,Polars,Big,ViewData,73.414077,2593.522,2.0,1698.367
run_149,DONE,r7,Pandas,Big,ViewData,758.563129,103.469,2.01,9867.249
run_212,DONE,r9,Polars,Small,MissingDataDAT,6.583174,1655.333,0.333,96.006
run_218,DONE,r10,Pandas,Big,MissingDataDAT,700.842368,103.016,2.305,9059.379
run_48,DONE,r3,Pandas,Big,FileTypes,603.786595,103.945,1.531,7748.639
run_200,DONE,r9,Pandas,Small,MissingDataDAT,94.946121,120.28,0.262,1208.175
run_113,DONE,r5,Polars,Big,ViewData,72.896101,2627.522,1.972,1613.331
run_5,DONE,r1,Pandas,Big,ViewData,765.790911,103.159,2.013,9919.602
run_163,DONE,r7,Polars,Small,InputOutputDAT,12.648094,351.083,0.033,143.583
run_79,DONE,r4,Pandas,Small,InputOutputDAT,108.604348,118.738,0.147,1383.585
run_210,DONE,r9,Polars,Small,FileTypes,11.803526,737.727,0.282,158.12
run_141,DONE,r6,Polars,Small,StatisticalAggregationMinMaxUnique,4.048892,1914.667,0.2,0.0
run_183,DONE,r8,Polars,Big,StatisticalAggregationMinMaxUnique,32.276875,1764.581,1.442,585.649
run_33,DONE,r2,Pandas,Small,StatisticalAggregationMinMaxUnique,65.761446,127.0,0.141,837.324
run_89,DONE,r4,Polars,Big,ViewData,72.850326,2558.826,1.974,1656.008
run_192,DONE,r9,Pandas,Big,FileTypes,595.490482,103.853,1.528,7688.825
run_102,DONE,r5,Pandas,Small,FileTypes,77.440367,125.684,0.161,991.572
run_72,DONE,r4,Pandas,Big,FileTypes,592.470271,103.983,1.541,7648.127
run_98,DONE,r5,Pandas,Big,MissingDataDAT,688.881325,103.722,2.28,8959.388
run_117,DONE,r5,Polars,Small,StatisticalAggregationMinMaxUnique,4.04599,1951.333,0.2,0.0
run_201,DONE,r9,Pandas,Small,StatisticalAggregationMinMaxUnique,66.57968,128.877,0.143,808.678
run_8,DONE,r1,Pandas,Small,MissingDataDAT,95.229263,121.667,0.257,1233.442
run_152,DONE,r7,Pandas,Small,MissingDataDAT,94.504987,120.914,0.257,1196.232
run_26,DONE,r2,Pandas,Big,MissingDataDAT,706.919162,102.582,2.293,9144.383
run_138,DONE,r6,Polars,Small,FileTypes,11.839568,739.545,0.282,162.084
run_209,DONE,r9,Polars,Big,ViewData,73.745133,2570.657,1.947,1669.098
run_135,DONE,r6,Polars,Big,StatisticalAggregationMinMaxUnique,32.561184,1849.968,1.455,562.536
run_166,DONE,r7,Polars,Small,StatisticalAggregationSumMeanDAT,3.741952,2031.667,0.2,50.528
run_86,DONE,r4,Polars,Big,MissingDataDAT,49.351482,1621.809,2.062,965.501
run_127,DONE,r6,Pandas,Small,InputOutputDAT,109.531063,122.102,0.145,1383.838
run_221,DONE,r10,Pandas,Big,ViewData,761.375235,103.204,2.007,9903.603
run_91,DONE,r4,Polars,Small,InputOutputDAT,12.577658,353.583,0.042,142.243
run_52,DONE,r3,Pandas,Big,StatisticalAggregationSumMeanDAT,513.115903,104.407,1.422,6609.73
run_101,DONE,r5,Pandas,Big,ViewData,762.108091,103.073,2.012,9825.035
run_17,DONE,r1,Polars,Big,ViewData,73.396219,2539.71,1.941,1646.577
run_36,DONE,r2,Polars,Big,FileTypes,92.760562,761.322,1.436,1395.753
run_85,DONE,r4,Polars,Big,InputOutputDAT,107.038818,339.771,0.327,1402.627
run_205,DONE,r9,Polars,Big,InputOutputDAT,107.005977,336.352,0.327,1435.155
run_196,DONE,r9,Pandas,Big,StatisticalAggregationSumMeanDAT,503.287193,105.014,1.386,6548.702
run_112,DONE,r5,Polars,Big,StatisticalAggregationSumMeanDAT,29.255365,1906.179,1.407,525.973
run_154,DONE,r7,Pandas,Small,StatisticalAggregationSumMeanDAT,68.35417,125.701,0.148,867.904
run_94,DONE,r4,Polars,Small,StatisticalAggregationSumMeanDAT,3.826046,2043.0,0.2,49.496
run_214,DONE,r9,Polars,Small,StatisticalAggregationSumMeanDAT,3.783578,1630.667,0.2,50.311
run_147,DONE,r7,Pandas,Big,StatisticalAggregationMinMaxUnique,495.110013,105.191,1.384,6384.464
run_38,DONE,r2,Polars,Big,MissingDataDAT,51.063029,1640.918,2.059,750.688
run_74,DONE,r4,Pandas,Big,MissingDataDAT,695.712208,102.816,2.292,9072.746
run_106,DONE,r5,Pandas,Small,StatisticalAggregationSumMeanDAT,68.399259,128.075,0.14,858.435
run_134,DONE,r6,Polars,Big,MissingDataDAT,48.857637,1675.106,2.026,866.426
run_230,DONE,r10,Polars,Big,MissingDataDAT,50.170108,1668.75,2.056,928.264
run_55,DONE,r3,Pandas,Small,InputOutputDAT,108.478253,121.402,0.146,1388.395
run_6,DONE,r1,Pandas,Small,FileTypes,76.965537,121.413,0.153,995.238
run_105,DONE,r5,Pandas,Small,StatisticalAggregationMinMaxUnique,66.056845,117.092,0.143,838.134
run_103,DONE,r5,Pandas,Small,InputOutputDAT,107.808729,118.962,0.151,1374.062
run_199,DONE,r9,Pandas,Small,InputOutputDAT,107.851908,121.925,0.15,1345.353
run_60,DONE,r3,Polars,Big,FileTypes,92.973097,746.802,1.448,1268.544
run_208,DONE,r9,Polars,Big,StatisticalAggregationSumMeanDAT,29.481485,1967.179,1.421,535.489
run_168,DONE,r8,Pandas,Big,FileTypes,592.738931,103.648,1.538,7624.603
run_233,DONE,r10,Polars,Big,ViewData,72.621582,2631.783,1.941,1681.862
run_21,DONE,r1,Polars,Small,StatisticalAggregationMinMaxUnique,4.165045,1869.333,0.233,51.209
run_45,DONE,r2,Polars,Small,StatisticalAggregationMinMaxUnique,4.059267,1769.667,0.2,51.939
run_121,DONE,r6,Pandas,Big,InputOutputDAT,1017.330473,104.779,1.458,12772.242
run_158,DONE,r7,Polars,Big,MissingDataDAT,51.296153,1685.265,2.012,968.379
run_132,DONE,r6,Polars,Big,FileTypes,93.898233,749.88,1.432,1290.073
run_238,DONE,r10,Polars,Small,StatisticalAggregationSumMeanDAT,3.789577,2049.667,0.2,51.568
run_50,DONE,r3,Pandas,Big,MissingDataDAT,698.821764,103.552,2.284,8966.617
run_95,DONE,r4,Polars,Small,ViewData,9.507542,2580.556,0.311,240.043
run_148,DONE,r7,Pandas,Big,StatisticalAggregationSumMeanDAT,497.576781,105.112,1.399,6493.443
run_75,DONE,r4,Pandas,Big,StatisticalAggregationMinMaxUnique,497.558184,104.794,1.385,6390.952
run_64,DONE,r3,Polars,Big,StatisticalAggregationSumMeanDAT,28.74565,2036.296,1.47,480.217
run_90,DONE,r4,Polars,Small,FileTypes,12.011389,731.818,0.273,159.899
run_10,DONE,r1,Pandas,Small,StatisticalAggregationSumMeanDAT,67.557431,128.773,0.144,874.096
run_220,DONE,r10,Pandas,Big,StatisticalAggregationSumMeanDAT,507.737511,104.946,1.388,6543.0
run_46,DONE,r2,Polars,Small,StatisticalAggregationSumMeanDAT,3.750374,2059.333,0.2,0.0
run_111,DONE,r5,Polars,Big,StatisticalAggregationMinMaxUnique,32.039588,1642.967,1.4,545.257
run_116,DONE,r5,Polars,Small,MissingDataDAT,6.649713,1672.0,0.4,91.305
run_2,DONE,r1,Pandas,Big,MissingDataDAT,700.572643,103.548,2.298,9034.914
run_144,DONE,r7,Pandas,Big,FileTypes,596.042049,103.732,1.537,7683.704
run_31,DONE,r2,Pandas,Small,InputOutputDAT,108.789516,120.981,0.152,1388.466
run_197,DONE,r9,Pandas,Big,ViewData,758.314162,102.646,2.02,9789.417
run_92,DONE,r4,Polars,Small,MissingDataDAT,6.46637,1231.833,0.367,91.0
run_217,DONE,r10,Pandas,Big,InputOutputDAT,998.568492,104.778,1.451,12577.234
run_145,DONE,r7,Pandas,Big,InputOutputDAT,1006.08804,104.408,1.45,12644.329
run_128,DONE,r6,Pandas,Small,MissingDataDAT,94.08161,121.989,0.253,1204.231
run_109,DONE,r5,Polars,Big,InputOutputDAT,107.305735,341.143,0.327,1436.701
run_24,DONE,r2,Pandas,Big,FileTypes,589.076896,104.053,1.547,7641.39
run_108,DONE,r5,Polars,Big,FileTypes,93.477355,753.22,1.43,1390.905
run_1,DONE,r1,Pandas,Big,InputOutputDAT,1005.603778,104.721,1.452,12686.091
run_23,DONE,r1,Polars,Small,ViewData,9.637652,2717.778,0.344,180.067
run_70,DONE,r3,Polars,Small,StatisticalAggregationSumMeanDAT,3.780821,2046.667,0.2,52.347
run_32,DONE,r2,Pandas,Small,MissingDataDAT,93.155573,122.44,0.251,1199.991
run_198,DONE,r9,Pandas,Small,FileTypes,77.167636,125.184,0.161,1011.308
run_165,DONE,r7,Polars,Small,StatisticalAggregationMinMaxUnique,4.05834,1940.333,0.2,51.824
run_99,DONE,r5,Pandas,Big,StatisticalAggregationMinMaxUnique,493.069857,104.716,1.383,6394.101
run_57,DONE,r3,Pandas,Small,StatisticalAggregationMinMaxUnique,65.963246,129.492,0.134,850.508
run_49,DONE,r3,Pandas,Big,InputOutputDAT,1007.803612,104.234,1.455,12704.862
run_88,DONE,r4,Polars,Big,StatisticalAggregationSumMeanDAT,29.296935,1915.5,1.407,525.156
run_137,DONE,r6,Polars,Big,ViewData,72.844936,2549.42,1.958,1698.941
run_184,DONE,r8,Polars,Big,StatisticalAggregationSumMeanDAT,29.079167,1969.0,1.418,547.712
run_228,DONE,r10,Polars,Big,FileTypes,93.516173,768.484,1.446,1395.1
run_167,DONE,r7,Polars,Small,ViewData,9.612678,2720.889,0.333,177.439
run_118,DONE,r5,Polars,Small,StatisticalAggregationSumMeanDAT,3.81124,2055.333,0.2,0.0
run_42,DONE,r2,Polars,Small,FileTypes,11.861708,683.636,0.282,156.594
run_157,DONE,r7,Polars,Big,InputOutputDAT,106.105374,342.731,0.322,1395.34
run_174,DONE,r8,Pandas,Small,FileTypes,76.696402,124.693,0.164,974.631
run_237,DONE,r10,Polars,Small,StatisticalAggregationMinMaxUnique,4.071274,1935.0,0.233,47.405
run_180,DONE,r8,Polars,Big,FileTypes,93.123896,749.484,1.423,1404.684
run_78,DONE,r4,Pandas,Small,FileTypes,77.677017,124.395,0.161,1002.92
run_232,DONE,r10,Polars,Big,StatisticalAggregationSumMeanDAT,29.006795,1931.37,1.463,507.521
run_67,DONE,r3,Polars,Small,InputOutputDAT,12.527194,353.167,0.033,147.609
run_126,DONE,r6,Pandas,Small,FileTypes,76.197103,120.253,0.164,1015.558
run_178,DONE,r8,Pandas,Small,StatisticalAggregationSumMeanDAT,67.302624,129.318,0.147,868.827
run_62,DONE,r3,Polars,Big,MissingDataDAT,49.400906,1544.106,2.081,851.386
run_13,DONE,r1,Polars,Big,InputOutputDAT,106.500689,341.952,0.322,1415.958
run_188,DONE,r8,Polars,Small,MissingDataDAT,6.530685,1462.167,0.35,95.938
run_54,DONE,r3,Pandas,Small,FileTypes,77.180238,125.737,0.159,1001.213
run_204,DONE,r9,Polars,Big,FileTypes,93.763643,764.692,1.446,1375.007
run_82,DONE,r4,Pandas,Small,StatisticalAggregationSumMeanDAT,68.178063,128.746,0.145,874.195
run_195,DONE,r9,Pandas,Big,StatisticalAggregationMinMaxUnique,495.594936,104.018,1.381,6446.053
run_81,DONE,r4,Pandas,Small,StatisticalAggregationMinMaxUnique,66.390024,127.354,0.142,836.176
run_39,DONE,r2,Polars,Big,StatisticalAggregationMinMaxUnique,32.135197,1775.032,1.442,564.272
run_185,DONE,r8,Polars,Big,ViewData,73.160928,2544.971,1.958,1642.656
run_239,DONE,r10,Polars,Small,ViewData,9.559436,2709.222,0.356,240.585
run_4,DONE,r1,Pandas,Big,StatisticalAggregationSumMeanDAT,498.228924,104.678,1.398,6472.397
run_14,DONE,r1,Polars,Big,MissingDataDAT,49.963141,1660.354,2.079,927.418
run_227,DONE,r10,Pandas,Small,ViewData,101.027903,121.04,0.232,1297.121
run_123,DONE,r6,Pandas,Big,StatisticalAggregationMinMaxUnique,495.355849,105.004,1.384,6447.473
run_30,DONE,r2,Pandas,Small,FileTypes,76.904377,122.893,0.163,991.167
run_65,DONE,r3,Polars,Big,ViewData,73.402795,2519.043,1.971,1672.361
run_100,DONE,r5,Pandas,Big,StatisticalAggregationSumMeanDAT,503.473078,104.771,1.379,6482.102
run_143,DONE,r6,Polars,Small,ViewData,9.611906,2703.444,0.333,238.91
run_73,DONE,r4,Pandas,Big,InputOutputDAT,1017.699493,104.367,1.458,12842.879
run_93,DONE,r4,Polars,Small,StatisticalAggregationMinMaxUnique,4.044151,1568.333,0.2,50.784
run_80,DONE,r4,Pandas,Small,MissingDataDAT,93.876022,122.065,0.259,1199.481
run_114,DONE,r5,Polars,Small,FileTypes,11.876714,734.727,0.273,141.461
run_159,DONE,r7,Polars,Big,StatisticalAggregationMinMaxUnique,31.984213,1762.7,1.413,595.149
run_173,DONE,r8,Pandas,Big,ViewData,766.312559,103.394,2.02,9888.266
run_216,DONE,r10,Pandas,Big,FileTypes,594.62832,103.915,1.543,7664.917
run_44,DONE,r2,Polars,Small,MissingDataDAT,6.573625,1659.0,0.383,91.959
run_16,DONE,r1,Polars,Big,StatisticalAggregationSumMeanDAT,29.257618,1983.214,1.425,577.197
run_47,DONE,r2,Polars,Small,ViewData,9.515174,2725.667,0.289,179.476
run_155,DONE,r7,Pandas,Small,ViewData,103.55296,116.039,0.233,1321.145
run_202,DONE,r9,Pandas,Small,StatisticalAggregationSumMeanDAT,68.419599,128.224,0.142,860.057
run_236,DONE,r10,Polars,Small,MissingDataDAT,6.686857,1648.0,0.35,88.634
run_219,DONE,r10,Pandas,Big,StatisticalAggregationMinMaxUnique,497.387382,104.824,1.388,6364.512
run_19,DONE,r1,Polars,Small,InputOutputDAT,12.633037,351.333,0.05,143.777
run_131,DONE,r6,Pandas,Small,ViewData,100.309531,119.202,0.228,1288.855
run_22,DONE,r1,Polars,Small,StatisticalAggregationSumMeanDAT,3.858286,2060.333,0.2,48.877
run_133,DONE,r6,Polars,Big,InputOutputDAT,106.538312,342.971,0.323,1406.597
run_125,DONE,r6,Pandas,Big,ViewData,757.718511,102.696,2.011,9857.481
run_136,DONE,r6,Polars,Big,StatisticalAggregationSumMeanDAT,29.732034,1956.893,1.45,472.397
run_20,DONE,r1,Polars,Small,MissingDataDAT,6.664229,1664.833,0.35,98.985
run_129,DONE,r6,Pandas,Small,StatisticalAggregationMinMaxUnique,65.953157,128.662,0.14,832.065
run_87,DONE,r4,Polars,Big,StatisticalAggregationMinMaxUnique,32.000402,1807.833,1.45,563.638
run_58,DONE,r3,Pandas,Small,StatisticalAggregationSumMeanDAT,67.448909,127.97,0.145,870.357
run_234,DONE,r10,Polars,Small,FileTypes,11.808936,738.727,0.282,157.091
run_182,DONE,r8,Polars,Big,MissingDataDAT,50.106741,1586.542,2.079,960.828
run_120,DONE,r6,Pandas,Big,FileTypes,594.736636,103.91,1.541,7602.463
run_160,DONE,r7,Polars,Big,StatisticalAggregationSumMeanDAT,29.212178,1991.929,1.421,517.218
run_11,DONE,r1,Pandas,Small,ViewData,100.568238,120.525,0.234,1297.812
run_224,DONE,r10,Pandas,Small,MissingDataDAT,92.868453,120.637,0.255,1201.869
run_27,DONE,r2,Pandas,Big,StatisticalAggregationMinMaxUnique,495.325654,105.314,1.384,6420.883
run_0,DONE,r1,Pandas,Big,FileTypes,605.252367,103.287,1.532,7723.368
run_37,DONE,r2,Polars,Big,InputOutputDAT,106.268969,335.087,0.326,1390.806
run_206,DONE,r9,Polars,Big,MissingDataDAT,49.297496,1695.851,2.043,891.926
run_35,DONE,r2,Pandas,Small,ViewData,101.345065,120.88,0.232,1327.882
run_187,DONE,r8,Polars,Small,InputOutputDAT,12.547859,353.75,0.033,142.666
run_43,DONE,r2,Polars,Small,InputOutputDAT,12.582377,356.917,0.042,181.72
run_150,DONE,r7,Pandas,Small,FileTypes,76.494625,122.12,0.161,946.444
run_61,DONE,r3,Polars,Big,InputOutputDAT,105.658706,346.144,0.326,1425.83
run_190,DONE,r8,Polars,Small,StatisticalAggregationSumMeanDAT,3.712472,2052.0,0.2,51.108
run_3,DONE,r1,Pandas,Big,StatisticalAggregationMinMaxUnique,499.76526,104.57,1.381,6469.965
run_41,DONE,r2,Polars,Big,ViewData,73.168383,2590.232,1.954,1636.806
run_68,DONE,r3,Polars,Small,MissingDataDAT,6.598068,1452.5,0.383,87.275
run_226,DONE,r10,Pandas,Small,StatisticalAggregationSumMeanDAT,68.173685,128.746,0.145,861.001
run_119,DONE,r5,Polars,Small,ViewData,9.597532,2707.444,0.344,180.613
run_225,DONE,r10,Pandas,Small,StatisticalAggregationMinMaxUnique,66.406784,128.754,0.142,863.399
run_53,DONE,r3,Pandas,Big,ViewData,756.736766,103.296,2.008,9832.853
run_29,DONE,r2,Pandas,Big,ViewData,757.431769,103.329,2.015,9923.805
run_9,DONE,r1,Pandas,Small,StatisticalAggregationMinMaxUnique,65.736506,125.562,0.139,826.468
run_7,DONE,r1,Pandas,Small,InputOutputDAT,109.007377,119.879,0.153,1342.507
run_69,DONE,r3,Polars,Small,StatisticalAggregationMinMaxUnique,4.075179,1954.333,0.2,52.083
run_97,DONE,r5,Pandas,Big,InputOutputDAT,1010.660599,104.482,1.455,10326.339
run_110,DONE,r5,Polars,Big,MissingDataDAT,50.262186,1664.51,1.986,759.473
run_181,DONE,r8,Polars,Big,InputOutputDAT,106.627529,329.41,0.326,1396.979
run_115,DONE,r5,Polars,Small,InputOutputDAT,12.62961,353.25,0.033,180.162
run_28,DONE,r2,Pandas,Big,StatisticalAggregationSumMeanDAT,503.897751,104.795,1.392,6589.113
run_235,DONE,r10,Polars,Small,InputOutputDAT,13.36418,341.0,0.031,177.906
run_179,DONE,r8,Pandas,Small,ViewData,101.27848,120.808,0.233,1287.063
run_76,DONE,r4,Pandas,Big,StatisticalAggregationSumMeanDAT,506.882294,104.674,1.416,6570.168
run_223,DONE,r10,Pandas,Small,InputOutputDAT,107.988416,122.264,0.15,1357.219
run_25,DONE,r2,Pandas,Big,InputOutputDAT,1001.054161,104.505,1.454,12629.854
run_142,DONE,r6,Polars,Small,StatisticalAggregationSumMeanDAT,3.667182,2082.667,0.267,51.932
run_63,DONE,r3,Polars,Big,StatisticalAggregationMinMaxUnique,32.524665,1651.645,1.452,575.069
run_51,DONE,r3,Pandas,Big,StatisticalAggregationMinMaxUnique,494.691821,105.307,1.388,6433.038
run_107,DONE,r5,Pandas,Small,ViewData,100.069688,120.827,0.235,1250.617
run_175,DONE,r8,Pandas,Small,InputOutputDAT,108.955543,120.981,0.152,1360.783
run_193,DONE,r9,Pandas,Big,InputOutputDAT,1013.98087,104.823,1.449,12777.522
run_191,DONE,r8,Polars,Small,ViewData,9.552511,2739.333,0.344,179.544
run_146,DONE,r7,Pandas,Big,MissingDataDAT,695.579116,103.388,2.287,9001.744
run_231,DONE,r10,Polars,Big,StatisticalAggregationMinMaxUnique,31.864385,1778.3,1.49,560.123
run_130,DONE,r6,Pandas,Small,StatisticalAggregationSumMeanDAT,67.461606,125.455,0.147,860.441
run_215,DONE,r9,Polars,Small,ViewData,9.577591,2568.111,0.333,180.475
run_83,DONE,r4,Pandas,Small,ViewData,101.447064,120.59,0.232,1307.656
run_222,DONE,r10,Pandas,Small,FileTypes,76.919295,125.027,0.165,969.186
run_15,DONE,r1,Polars,Big,StatisticalAggregationMinMaxUnique,32.08971,1790.452,1.41,559.129
run_189,DONE,r8,Polars,Small,StatisticalAggregationMinMaxUnique,4.072473,1938.333,0.233,95.466
run_104,DONE,r5,Pandas,Small,MissingDataDAT,94.045662,120.37,0.257,1196.083
run_171,DONE,r8,Pandas,Big,StatisticalAggregationMinMaxUnique,493.551109,105.32,1.387,6389.991
run_186,DONE,r8,Polars,Small,FileTypes,11.783288,749.273,0.291,159.407
run_140,DONE,r6,Polars,Small,MissingDataDAT,6.420402,1692.333,0.367,92.219
run_229,DONE,r10,Polars,Big,InputOutputDAT,106.163499,335.625,0.326,1401.018
run_177,DONE,r8,Pandas,Small,StatisticalAggregationMinMaxUnique,66.426694,128.938,0.143,860.831
run_169,DONE,r8,Pandas,Big,InputOutputDAT,1013.539105,104.591,1.461,12735.472
